2025-11-09 22:00:44 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:05:13 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:05:23 | INFO | alejandria | 127.0.0.1 | GET / -> /login.html
2025-11-09 22:05:23 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:05:24 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:05:25 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:05:43 | INFO | alejandria | 127.0.0.1 | GET /static/signup.html -> 304 34ms size=- ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:05:51 | INFO | alejandria | 127.0.0.1 | GET /static/index.html -> 304 2ms size=- ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/signup.html' user='-'
2025-11-09 22:05:51 | INFO | alejandria | 127.0.0.1 | GET /static/index.css -> 200 1ms size=5553 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/index.html' user='-'
2025-11-09 22:05:51 | INFO | alejandria | 127.0.0.1 | GET /static/app.js -> 304 2ms size=- ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/index.html' user='-'
2025-11-09 22:05:54 | INFO | alejandria | 127.0.0.1 | Logout
2025-11-09 22:05:54 | INFO | alejandria | 127.0.0.1 | POST /auth/logout -> 200 1ms size=11 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/index.html' user='-'
2025-11-09 22:15:18 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:15:23 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:15:25 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:19:30 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:19:30 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:19:38 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:19:40 | INFO | alejandria | 127.0.0.1 | GET / -> /login.html
2025-11-09 22:19:40 | INFO | alejandria | 127.0.0.1 | GET / -> 307 3ms size=0 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:19:40 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:19:40 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 83ms size=1482 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:19:40 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:19:40 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:19:48 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:19:48 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 2ms size=1482 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:19:48 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:19:48 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:19:54 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:19:59 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:20:17 | INFO | alejandria | 127.0.0.1 | GET / -> /login.html
2025-11-09 22:20:17 | INFO | alejandria | 127.0.0.1 | GET / -> 307 2ms size=0 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:20:17 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:20:27 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:20:27 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 2ms size=1482 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:20:27 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:20:27 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:20:35 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:20:35 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 3ms size=1482 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:20:35 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:20:35 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:20:40 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:20:44 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:20:46 | INFO | alejandria | 127.0.0.1 | GET / -> /login.html
2025-11-09 22:20:46 | INFO | alejandria | 127.0.0.1 | GET / -> 307 1ms size=0 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:20:46 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:20:54 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:20:54 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 2ms size=1482 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:20:54 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:20:54 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:20:59 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:20:59 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 3ms size=1482 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:20:59 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:20:59 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:21:15 | INFO | alejandria | 127.0.0.1 | GET /static/login.html -> 304 3ms size=- ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:21:15 | INFO | alejandria | 127.0.0.1 | GET /static/login.css -> 304 3ms size=- ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/login.html' user='-'
2025-11-09 22:22:25 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:22:29 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:22:31 | INFO | alejandria | 127.0.0.1 | GET / -> /login.html
2025-11-09 22:22:31 | INFO | alejandria | 127.0.0.1 | GET / -> 307 1ms size=0 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:22:31 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:22:35 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:22:35 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 2ms size=1482 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:22:35 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:22:35 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:24:30 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:27:24 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:27:26 | INFO | alejandria | 127.0.0.1 | GET / -> /login.html
2025-11-09 22:27:26 | INFO | alejandria | 127.0.0.1 | GET / -> 307 4ms size=0 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:27:26 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:27:26 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 404 0ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:27:26 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 83ms size=1482 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:27:27 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:27:28 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 4ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:27:28 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:27:28 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 73ms size=1482 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:27:28 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 200 2ms size=2882 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:27:28 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 1ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:27:31 | INFO | alejandria | 127.0.0.1 | GET / -> /login.html
